Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020,2024
1363,Oceania (excluding Australia and New Zealand),,,1835,France*,250,37 781,42 746,47 261,54 242,59 445,67 716,70 496,72 812
1364,Oceania (excluding Australia and New Zealand),,,1835,Germany,276,354,395,430,443,424,397,394,392
1365,Oceania (excluding Australia and New Zealand),,,1835,Netherlands*,528,10,11,11,14,17,17,18,19
1366,Oceania (excluding Australia and New Zealand),,,1835,Switzerland,756,107,117,126,131,127,120,120,120
1367,Oceania (excluding Australia and New Zealand),,,1835,LATIN AMERICA AND THE CARIBBEAN,904,1 117,1 327,1 606,3 473,4 933,4 861,5 094,5 292
1368,Oceania (excluding Australia and New Zealand),,,1835,Caribbean,915,1 117,1 327,1 606,3 473,4 933,4 861,5 094,5 292
1369,Oceania (excluding Australia and New Zealand),,,1835,Puerto Rico*,630,1 117,1 327,1 606,3 473,4 933,4 861,5 094,5 292
1370,Oceania (excluding Australia and New Zealand),,,1835,NORTHERN AMERICA,905,36 368,32 723,28 579,27 687,26 210,26 182,27 270,28 195
1371,Oceania (excluding Australia and New Zealand),,,1835,Canada,124,488,506,422,426,378,372,370,371
1372,Oceania (excluding Australia and New Zealand),,,1835,United States of America*,840,35 880,32 217,28 157,27 261,25 832,25 810,26 900,27 824
1373,Oceania (excluding Australia and New Zealand),,,1835,OCEANIA,909,80 225,87 885,90 745,90 917,86 298,88 743,91 155,93 311
1374,Oceania (excluding Australia and New Zealand),,,1835,Australia/New Zealand,927,25 034,25 995,22 277,22 675,21 187,21 043,21 372,21 679
1375,Oceania (excluding Australia and New Zealand),,,1835,Australia*,36,16 948,17 525,14 166,14 542,13 045,13 177,13 317,13 440
1376,Oceania (excluding Australia and New Zealand),,,1835,New Zealand*,554,8 086,8 470,8 111,8 133,8 142,7 866,8 055,8 239
1377,Oceania (excluding Australia and New Zealand),,,1835,Melanesia,928,10 732,11 692,12 474,13 106,13 211,12 281,12 567,12 843
1378,Oceania (excluding Australia and New Zealand),,,1835,Fiji,242,1 729,1 864,1 973,2 262,2 383,2 673,2 734,2 802
1379,Oceania (excluding Australia and New Zealand),,,1835,New Caledonia*,540,2 880,3 180,3 469,3 712,3 606,3 546,3 551,3 551
1380,Oceania (excluding Australia and New Zealand),,,1835,Papua New Guinea,598,1 194,1 200,1 166,924,731,688,671,660
1381,Oceania (excluding Australia and New Zealand),,,1835,Solomon Islands,90,1 097,1 078,981,1 013,1 068,1 118,1 141,1 170
1382,Oceania (excluding Australia and New Zealand),,,1835,Vanuatu,548,3 832,4 370,4 885,5 195,5 423,4 256,4 470,4 660
1383,Oceania (excluding Australia and New Zealand),,,1835,Micronesia,954,15 672,18 146,20 691,22 304,21 808,21 672,22 707,23 602
1384,Oceania (excluding Australia and New Zealand),,,1835,Guam*,316,1 269,1 493,1 683,1 595,1 111,999,1 009,1 021
1385,Oceania (excluding Australia and New Zealand),,,1835,Kiribati,296,3 064,2 979,2 869,2 513,1 502,1 597,1 639,1 690
1386,Oceania (excluding Australia and New Zealand),,,1835,Marshall Islands,584,311,384,468,434,378,372,383,396
1387,Oceania (excluding Australia and New Zealand),,,1835,Micronesia (Fed. States of),583,4 940,7 116,9 334,11 237,12 463,12 396,13 032,13 567
1388,Oceania (excluding Australia and New Zealand),,,1835,Nauru,520,931,1 000,1 070,1 264,1 460,1 483,1 595,1 684
1389,Oceania (excluding Australia and New Zealand),,,1835,Northern Mariana Islands*,580,2 215,2 350,2 476,2 547,2 542,2 532,2 664,2 779
1390,Oceania (excluding Australia and New Zealand),,,1835,Palau,585,2 942,2 824,2 791,2 714,2 352,2 293,2 385,2 465
1391,Oceania (excluding Australia and New Zealand),,,1835,Polynesia*,957,28 787,32 052,35 303,32 832,30 092,33 747,34 509,35 187
1392,Oceania (excluding Australia and New Zealand),,,1835,American Samoa*,16,1 014,1 523,2 022,1 908,1 671,1 402,1 329,1 272
1393,Oceania (excluding Australia and New Zealand),,,1835,Cook Islands*,184,36,41,47,46,46,44,41,42
1394,Oceania (excluding Australia and New Zealand),,,1835,French Polynesia*,258,2 807,3 248,3 689,2 096,486,664,701,739
1395,Oceania (excluding Australia and New Zealand),,,1835,Niue*,570,16,17,18,20,23,22,21,22
1396,Oceania (excluding Australia and New Zealand),,,1835,Samoa,882,15 303,16 787,18 264,17 400,16 642,16 604,16 669,16 725
1397,Oceania (excluding Australia and New Zealand),,,1835,Tokelau*,772,161,162,162,151,132,111,104,100
1398,Oceania (excluding Australia and New Zealand),,,1835,Tonga,776,2 691,2 650,2 609,2 698,2 784,2 808,2 834,2 863
1399,Oceania (excluding Australia and New Zealand),,,1835,Tuvalu,798,1 171,1 146,1 132,1 104,860,880,908,939
1400,Oceania (excluding Australia and New Zealand),,,1835,Wallis and Futuna Islands*,876,5 588,6 478,7 360,7 409,7 448,11 212,11 902,12 485
1401,Oceania (excluding Australia and New Zealand),,,1835,Others,2003,20 626,22 177,23 723,25 827,26 481,23 356,24 173,24 754
1402,Australia/New Zealand,,,1836,World,900,4 517 870,4 810 557,5 075 813,5 735 938,6 836 784,7 865 257,8 948 750,9 579 393
1403,Australia/New Zealand,,,1836,Sub-Saharan Africa,1834,98 264,126 000,172 816,253 577,353 414,431 104,503 866,558 356
1404,Australia/New Zealand,,,1836,Northern Africa and Western Asia,1833,194 236,216 984,243 560,288 523,338 027,374 073,438 074,459 752
1405,Australia/New Zealand,,,1836,Central and Southern Asia,1831,140 353,188 256,237 248,360 454,660 100,965 276,1 455 208,1 825 695
1406,Australia/New Zealand,,,1836,Eastern and South-Eastern Asia,1832,647 383,822 335,959 539,1 222 828,1 607 529,2 013 941,2 432 227,2 646 189
1407,Australia/New Zealand,,,1836,Latin America and the Caribbean,1830,78 344,84 069,87 626,99 384,127 323,164 526,230 942,287 045
1408,Australia/New Zealand,,,1836,Oceania (excluding Australia and New Zealand),1835,165 333,184 970,213 874,246 389,278 374,316 708,350 011,391 284
1409,Australia/New Zealand,,,1836,Australia/New Zealand,1836,312 024,358 418,422 236,485 874,583 192,644 147,664 403,677 217
1410,Australia/New Zealand,,,1836,Europe and Northern America,1829,2 679 538,2 732 177,2 693 417,2 735 342,2 838 388,2 895 843,2 808 294,2 656 600
1411,Australia/New Zealand,,,1836,More developed regions,901,3 016 480,3 122 011,3 149 288,3 263 796,3 471 991,3 599 239,3 534 320,3 399 532
1412,Australia/New Zealand,,,1836,Less developed regions,902,1 298 995,1 591 198,1 881 028,2 428 575,3 314 356,4 206 379,5 348 705,6 102 606
1413,Australia/New Zealand,,,1836,Least developed countries,941,67 770,82 273,106 350,161 540,252 822,343 858,482 880,606 331
1414,Australia/New Zealand,,,1836,"Less developed regions, excluding least developed countries",934,1 231 225,1 508 925,1 774 678,2 267 035,3 061 534,3 862 521,4 865 825,5 496 275
1415,Australia/New Zealand,,,1836,"Less developed regions, excluding China",948,1 122 280,1 349 198,1 578 019,1 993 003,2 719 802,3 412 989,4 387 866,5 094 760
1416,Australia/New Zealand,,,1836,Land-locked Developing Countries (LLDC),1636,81 286,90 444,104 660,137 079,198 601,270 613,391 500,507 144
1417,Australia/New Zealand,,,1836,Small Island Developing States (SIDS),1637,217 454,244 774,280 598,333 836,383 964,431 247,472 212,518 181
1418,Australia/New Zealand,,,1836,High-and-upper-middle-income countries,5503,3 670 061,3 929 371,4 133 102,4 556 912,5 174 906,5 694 091,6 054 679,6 134 776
1419,Australia/New Zealand,,,1836,Low-and-Lower-middle-income countries,5504,621 464,760 264,870 210,1 107 593,1 581 971,2 079 427,2 795 264,3 333 124
1420,Australia/New Zealand,,,1836,High-income countries,1503,3 083 507,3 228 874,3 268 250,3 428 610,3 711 091,3 909 632,3 884 791,3 789 397
1421,Australia/New Zealand,,,1836,Low-and-middle-income countries,1859,1 208 018,1 460 761,1 735 062,2 235 895,3 045 786,3 863 886,4 965 152,5 678 503
1422,Australia/New Zealand,,,1836,Middle-income countries,1517,1 190 820,1 437 064,1 697 122,2 167 989,2 942 710,3 720 497,4 779 566,5 461 345
1423,Australia/New Zealand,,,1836,Upper-middle-income countries,1502,586 554,700 497,864 852,1 128 302,1 463 815,1 784 459,2 169 888,2 345 379
1424,Australia/New Zealand,,,1836,Lower-middle-income countries,1501,604 266,736 567,832 270,1 039 687,1 478 895,1 936 038,2 609 678,3 115 966
1425,Australia/New Zealand,,,1836,Low-income countries,1500,17 198,23 697,37 940,67 906,103 076,143 389,185 586,217 158
1426,Australia/New Zealand,,,1836,No income group available,1518,23 950,23 574,27 004,27 866,29 470,32 100,33 082,34 238
1427,Australia/New Zealand,,,1836,AFRICA,903,140 316,170 495,219 076,315 265,425 976,502 743,577 662,630 962
1428,Australia/New Zealand,,,1836,Eastern Africa,910,41 276,51 257,60 938,87 276,123 529,156 167,174 947,187 694
1429,Australia/New Zealand,,,1836,Burundi,108,18,29,27,379,1 850,2 385,3 037,3 255
1430,Australia/New Zealand,,,1836,Djibouti,262,53,69,82,113,134,190,200,204
1431,Australia/New Zealand,,,1836,Eritrea,232,865,1 184,1 765,2 293,3 072,4 662,6 230,6 928
1432,Australia/New Zealand,,,1836,Ethiopia,231,1 491,2 306,3 642,6 064,8 939,13 123,15 644,17 141
1433,Australia/New Zealand,,,1836,Kenya,404,4 190,5 799,7 217,10 795,15 303,19 736,24 960,30 123
1434,Australia/New Zealand,,,1836,Madagascar,450,114,137,180,222,263,295,353,348
1435,Australia/New Zealand,,,1836,Malawi,454,329,437,537,761,1 023,1 414,1 692,1 853
1436,Australia/New Zealand,,,1836,Mauritius,480,17 128,18 945,18 559,20 326,26 861,28 687,29 308,28 962
1437,Australia/New Zealand,,,1836,Mozambique,508,397,480,628,771,870,1 006,1 055,1 037
1438,Australia/New Zealand,,,1836,Réunion,638,44,63,87,142,210,222,218,211
1439,Australia/New Zealand,,,1836,Rwanda,646,3,5,50,179,609,981,1 183,1 338
1440,Australia/New Zealand,,,1836,Seychelles,690,2 894,2 918,2 774,2 895,2 977,3 025,2 831,2 623
1441,Australia/New Zealand,,,1836,Somalia,706,1 273,1 768,3 767,4 504,6 155,8 686,9 268,9 578
1442,Australia/New Zealand,,,1836,South Sudan,728,0..,0..,0..,0..,648,7 511,9 004,9 693
1443,Australia/New Zealand,,,1836,Uganda,800,995,1 295,1 407,1 864,2 859,3 800,4 582,5 079
1444,Australia/New Zealand,,,1836,United Republic of Tanzania,834,1 358,1 723,1 958,2 328,3 820,4 495,4 885,4 926
1445,Australia/New Zealand,,,1836,Zambia,894,2 262,2 855,3 428,4 548,6 165,7 323,7 609,8 060
1446,Australia/New Zealand,,,1836,Zimbabwe,716,7 862,11 244,14 830,29 092,41 771,48 626,52 888,56 335
1447,Australia/New Zealand,,,1836,Middle Africa,911,572,731,989,1 695,4 348,7 082,10 655,12 328
1448,Australia/New Zealand,,,1836,Angola,24,359,391,417,451,528,560,570,559
1449,Australia/New Zealand,,,1836,Cameroon,120,12,19,67,130,268,450,581,695
1450,Australia/New Zealand,,,1836,Central African Republic,140,8,10,7,10,20,33,141,191
1451,Australia/New Zealand,,,1836,Chad,148,7,10,40,40,57,68,94,110
1452,Australia/New Zealand,,,1836,Congo,178,0..,0..,132,644,1 022,1 606,2 324,2 688
1453,Australia/New Zealand,,,1836,Democratic Republic of the Congo,180,183,296,306,390,2 423,4 318,6 895,8 028
1454,Australia/New Zealand,,,1836,Gabon,266,3,5,20,30,30,47,50,57
1455,Australia/New Zealand,,,1836,Northern Africa,912,42 052,44 495,46 260,61 688,72 562,71 639,73 796,72 606
1456,Australia/New Zealand,,,1836,Algeria,12,696,820,1 170,1 330,1 382,1 606,1 684,1 643
1457,Australia/New Zealand,,,1836,Egypt,818,37 470,38 550,37 608,38 735,41 795,44 717,47 278,46 879
1458,Australia/New Zealand,,,1836,Libya,434,1 021,1 236,1 413,1 577,2 395,2 797,2 881,2 812
1459,Australia/New Zealand,,,1836,Morocco,504,1 029,1 182,1 368,1 562,1 805,2 163,2 603,2 775
1460,Australia/New Zealand,,,1836,Sudan,729,1 375,2 214,4 204,17 942,24 613,19 698,18 588,17 709
1461,Australia/New Zealand,,,1836,Tunisia,788,461,493,497,542,572,658,762,788
1462,Australia/New Zealand,,,1836,Southern Africa,913,54 024,70 583,106 098,155 667,208 529,243 321,286 425,319 559
1463,Australia/New Zealand,,,1836,Botswana,72,115,185,670,973,1 120,1 327,1 599,1 736
1464,Australia/New Zealand,,,1836,Eswatini,748,114,146,235,270,340,385,370,359
1465,Australia/New Zealand,,,1836,Lesotho,426,46,59,67,92,112,150,150,157
1466,Australia/New Zealand,,,1836,Namibia,516,207,308,447,737,1 097,1 436,1 687,1 890
1467,Australia/New Zealand,,,1836,South Africa,710,53 542,69 885,104 679,153 595,205 860,240 023,282 619,315 417
1468,Australia/New Zealand,,,1836,Western Africa,914,2 392,3 429,4 791,8 939,17 008,24 534,31 839,38 775
1469,Australia/New Zealand,,,1836,Benin,204,3,5,28,30,80,105,98,97
1470,Australia/New Zealand,,,1836,Burkina Faso,854,6,10,11,20,40,58,58,68
1471,Australia/New Zealand,,,1836,Côte d'Ivoire,384,21,33,62,171,467,595,657,682
1472,Australia/New Zealand,,,1836,Gambia,270,12,19,35,80,102,128,130,141
1473,Australia/New Zealand,,,1836,Ghana,288,1 114,1 537,2 162,2 847,4 192,5 909,7 169,8 327
1474,Australia/New Zealand,,,1836,Guinea,324,3,5,30,194,642,933,1 050,1 175
1475,Australia/New Zealand,,,1836,Liberia,430,50,81,115,1 161,2 884,3 518,3 579,3 630
1476,Australia/New Zealand,,,1836,Mali,466,0..,0..,21,42,57,80,57,53
1477,Australia/New Zealand,,,1836,Nigeria,566,927,1 385,1 812,2 600,4 631,8 412,14 133,19 524
1478,Australia/New Zealand,,,1836,Senegal,686,156,191,235,272,370,437,467,509
1479,Australia/New Zealand,,,1836,Sierra Leone,694,97,158,260,1 490,3 265,3 989,4 094,4 218
1480,Australia/New Zealand,,,1836,Togo,768,3,5,20,32,278,370,347,351
1481,Australia/New Zealand,,,1836,ASIA,935,939 920,1 183 080,1 394 087,1 810 117,2 533 094,3 281 651,4 251 713,4 859 030
1482,Australia/New Zealand,,,1836,Central Asia,5500,324,515,1 053,1 812,3 043,4 501,5 711,6 563
1483,Australia/New Zealand,,,1836,Kazakhstan,398,94,152,386,677,1 190,1 911,2 438,2 892
1484,Australia/New Zealand,,,1836,Kyrgyzstan,417,12,19,97,233,362,492,638,731
1485,Australia/New Zealand,,,1836,Tajikistan,762,19,29,48,65,100,158,208,241
1486,Australia/New Zealand,,,1836,Turkmenistan,795,6,10,30,60,88,102,135,153
1487,Australia/New Zealand,,,1836,Uzbekistan,860,193,305,492,777,1 303,1 838,2 292,2 546
1488,Australia/New Zealand,,,1836,Eastern Asia,906,235 275,314 916,390 300,556 892,759 198,991 567,1 171 756,1 230 801
1489,Australia/New Zealand,,,1836,China,156,84 329,127 913,181 244,309 710,458 582,624 950,776 977,802 170
1490,Australia/New Zealand,,,1836,"China, Hong Kong SAR",344,65 261,83 367,86 610,88 030,92 636,104 066,115 466,130 437
1491,Australia/New Zealand,,,1836,"China, Macao SAR",446,1 753,1 912,2 042,2 090,2 558,2 781,2 961,3 081
1492,Australia/New Zealand,,,1836,"China, Taiwan Province of China",158,25 372,28 808,33 113,35 742,40 778,61 593,65 435,72 158
1493,Australia/New Zealand,,,1836,Japan,392,24 918,31 416,33 635,42 580,50 411,59 249,61 623,65 715
1494,Australia/New Zealand,,,1836,Mongolia,496,97,159,118,246,700,1 782,6 319,11 188
1495,Australia/New Zealand,,,1836,Republic of Korea,410,33 545,41 341,53 538,78 494,113 533,137 146,142 975,146 052
1496,Australia/New Zealand,,,1836,Southern Asia,5501,140 029,187 741,236 195,358 642,657 057,960 775,1 449 497,1 819 132
1497,Australia/New Zealand,,,1836,Afghanistan,4,4 139,6 547,13 178,20 873,33 096,52 687,67 364,88 212
1498,Australia/New Zealand,,,1836,Bangladesh,50,3 632,6 085,9 677,17 541,30 853,45 072,57 936,68 468
1499,Australia/New Zealand,,,1836,Bhutan,64,29,48,70,129,1 700,5 834,12 424,25 363
1500,Australia/New Zealand,,,1836,India,356,64 152,88 707,110 839,189 535,385 354,540 352,837 211,1 025 751
1501,Australia/New Zealand,,,1836,Iran (Islamic Republic of),364,16 339,20 018,23 291,29 382,39 513,65 508,81 232,94 329
1502,Australia/New Zealand,,,1836,Maldives,462,128,180,165,280,423,599,636,712
1503,Australia/New Zealand,,,1836,Nepal,524,1 144,1 639,2 375,4 346,27 964,52 742,133 490,204 304
1504,Australia/New Zealand,,,1836,Pakistan,586,5 605,8 754,12 295,18 845,33 169,66 338,101 704,134 294
1505,Australia/New Zealand,,,1836,Sri Lanka,144,44 861,55 763,64 305,77 711,104 985,131 643,157 500,177 699
1506,Australia/New Zealand,,,1836,South-Eastern Asia,920,412 108,507 419,569 239,665 936,848 331,1 022 374,1 260 471,1 415 388
1507,Australia/New Zealand,,,1836,Brunei Darussalam,96,1 545,1 791,2 105,2 561,3 030,2 893,3 159,3 357
1508,Australia/New Zealand,,,1836,Cambodia,116,24 818,26 990,29 675,33 326,37 973,41 549,49 028,52 093
1509,Australia/New Zealand,,,1836,Indonesia,360,44 515,49 918,60 242,64 821,75 892,82 716,100 479,112 383
1510,Australia/New Zealand,,,1836,Lao People's Democratic Republic,418,11 064,11 088,10 449,10 585,11 136,11 020,11 680,11 771
1511,Australia/New Zealand,,,1836,Malaysia,458,77 381,91 804,96 309,115 610,145 529,162 251,198 440,204 426
1512,Australia/New Zealand,,,1836,Myanmar,104,9 241,11 603,12 803,14 206,24 715,34 688,44 405,50 131
1513,Australia/New Zealand,,,1836,Philippines,608,74 890,104 538,121 886,149 345,213 098,293 187,387 394,464 455
1514,Australia/New Zealand,,,1836,Singapore,702,27 665,33 100,38 205,47 738,58 813,65 357,72 062,75 871
1515,Australia/New Zealand,,,1836,Thailand,764,17 007,22 335,28 020,37 637,58 447,75 320,99 273,122 250
1516,Australia/New Zealand,,,1836,Timor-Leste,626,0..,0..,1 991,10 733,10 587,9 992,10 247,11 546
1517,Australia/New Zealand,,,1836,Viet Nam,704,123 982,154 252,167 554,179 374,209 111,243 401,284 304,307 105
1518,Australia/New Zealand,,,1836,Western Asia,922,152 184,172 489,197 300,226 835,265 465,302 434,364 278,387 146
1519,Australia/New Zealand,,,1836,Armenia,51,797,885,978,1 111,1 199,1 463,1 443,1 462
1520,Australia/New Zealand,,,1836,Azerbaijan,31,44,71,188,298,422,647,745,828
1521,Australia/New Zealand,,,1836,Bahrain,48,483,623,772,1 077,1 353,1 734,2 135,2 395
1522,Australia/New Zealand,,,1836,Cyprus,196,24 057,23 367,22 831,22 457,21 355,20 077,18 425,16 610
1523,Australia/New Zealand,,,1836,Georgia,268,130,179,293,397,487,624,763,865
1524,Australia/New Zealand,,,1836,Iraq,368,10 649,16 332,31 019,43 111,57 638,76 239,105 277,117 890
1525,Australia/New Zealand,,,1836,Israel,376,6 191,7 053,7 395,8 942,10 688,11 250,12 151,11 821
1526,Australia/New Zealand,,,1836,Jordan,400,2 294,2 809,3 494,4 155,5 250,6 554,8 544,9 469
1527,Australia/New Zealand,,,1836,Kuwait,414,1 159,1 615,2 469,3 146,4 321,6 575,7 381,8 304
1528,Australia/New Zealand,,,1836,Lebanon,422,66 656,75 884,79 118,84 843,89 640,93 227,95 153,93 967
1529,Australia/New Zealand,,,1836,Oman,512,74,119,343,852,1 237,1 577,1 877,1 986
